Date,Category,Amount,Note,Is Spending?,Is big spending?
01/01/2012,Ăn trưa,34.000,,1,
01/01/2012,Linh tinh,50.000,"Ăn uống nhà Bống, Lệ cùng với Hồng 3 Mùi, Nghi 9 Ruộng, Quý bạn Hồng",1,
01/01/2012,Đổ xăng,50.000,,1,
02/01/2012,Ăn trưa,24.000,,1,
02/01/2012,Thay nhớt,75.000,,1,
02/01/2012,Ăn tối,92.000,,1,
02/01/2012,Gửi xe,6.000,Dinh Độc Lập + Siêu thị điện máy Chợ Lớn,1,
02/01/2012,Linh tinh,78.000,Cà phê guitar với Mỹ,1,
03/01/2012,Ăn sáng,24.000,,1,
03/01/2012,Ăn trưa,15.000,,1,
03/01/2012,Linh tinh,10.000,Hamburger,1,
03/01/2012,Gửi xe,3.000,,1,
03/01/2012,Đá banh,30.000,,1,
03/01/2012,Ăn tối,28.000,,1,
04/01/2012,Ăn trưa,18.000,,1,
05/01/2012,Ăn sáng,24.000,,1,
05/01/2012,Ăn trưa,17.000,,1,
05/01/2012,Ăn tối,15.000,,1,
05/01/2012,Linh tinh,20.000,Sinh tố,1,
06/01/2012,Ăn sáng,10.000,,1,
06/01/2012,Ăn trưa,25.000,,1,
06/01/2012,Linh tinh,24.000,Bánh mì,1,
06/01/2012,Cho mượn,300.000,Nhân,0,
07/01/2012,Thu tiền mượn,-200.000,Nhân,0,
07/01/2012,Đổ xăng,50.000,,1,
07/01/2012,Ăn trưa,17.000,,1,
07/01/2012,Linh tinh,15.000,Bánh mì cho Nhân,1,
07/01/2012,Linh tinh,26.000,"Uống nước với Mỹ, Thoa tại BV Chấn Thương Chỉnh Hình",1,
07/01/2012,Gửi xe,5.000,BV Chấn Thương Chỉnh Hình,1,
08/01/2012,Linh tinh,27.000,Nước uống,1,
08/01/2012,Gửi xe,2.000,Trường SPKT,1,
08/01/2012,Thu tiền mượn,-100.000,Bình,0,
08/01/2012,Nhậu,150.000,"Lễ tốt nghiệp Phong, Bình",1,
08/01/2012,Ăn tối,30.000,Bánh mì,1,
08/01/2012,Thu tiền mượn,-200.000,Nhựt,0,
08/01/2012,Linh tinh,30.000,Sinh tố,1,
09/01/2012,Ăn sáng,24.000,,1,
09/01/2012,Mượn,-20.000,Bà bán bánh mì,0,
09/01/2012,Ăn trưa,25.000,,1,
09/01/2012,Ăn tối,28.000,,1,
09/01/2012,Cho mượn,200.000,Nhân,0,
10/01/2012,Ăn sáng,8.000,,1,
10/01/2012,Ăn trưa,18.000,,1,
10/01/2012,Linh tinh,100.000,Ủng hộ Vân An (Gameloft),1,
10/01/2012,Gửi xe,3.000,,1,
10/01/2012,Đá banh,60.000,Với Nhân,1,
10/01/2012,Đổ xăng,50.000,,1,
10/01/2012,Nhậu,100.000,"Với nhóm đá banh, trả dùm Nhân 100k, thu lại vào ngày 14/1",1,
11/01/2012,Ăn sáng,10.000,Bánh mì,1,
11/01/2012,Ăn trưa,21.000,,1,
11/01/2012,Ăn tối,45.000,,1,
12/01/2012,Ăn sáng,8.000,,1,
12/01/2012,Ăn trưa,26.000,,1,
12/01/2012,Ăn tối,15.000,,1,
13/01/2012,Ăn sáng,12.000,,1,
13/01/2012,Trả tiền mượn,20.000,Bà bán bánh mì,0,
13/01/2012,Ăn trưa,21.000,,1,
14/01/2012,Linh tinh,2.000,Bơm xe,1,
14/01/2012,Ăn tối,15.000,,1,
14/01/2012,Đổ xăng,40.000,,1,
14/01/2012,Linh tinh,1.000,Góp tiền trà sữa với Dung (Đồng Nai),1,
14/01/2012,Linh tinh,30.000,"Nước mía, cá viên chiên",1,
15/01/2012,Thu tiền mượn,-700.000,Thu,0,
15/01/2012,Linh tinh,34.000,Trà sữa,1,
15/01/2012,Nhậu,200.000,,1,
16/01/2012,Ăn sáng,6.000,,1,
16/01/2012,Đổ xăng,50.000,,1,
16/01/2012,Linh tinh,152.000,"Sách Cuộc sống thay đổi khi chúng ta thay đổi, Những sai lầm của cha mẹ",1,
17/01/2012,Linh tinh,500.000,Vé xe,1,
17/01/2012,Đá banh,30.000,,1,
17/01/2012,Gửi xe,3.000,Sân banh,1,
17/01/2012,Nhậu,100.000,Với nhóm đá banh,1,
17/01/2012,Linh tinh,20.000,Sinh tố,1,
18/01/2012,Ăn trưa,18.000,,1,
18/01/2012,Linh tinh,98.000,Nạp card điện thoại,1,
18/01/2012,Ăn tối,28.000,,1,
18/01/2012,Linh tinh,15.000,Nước ngọt,1,
18/01/2012,Thu tiền mượn,-800.000,Nhân,0,
18/01/2012,Phòng,800.000,,1,
19/01/2012,Rút tài khoản,-1.300.000,,0,
19/01/2012,Ăn trưa,25.000,,1,
19/01/2012,Linh tinh,43.000,Bánh bao + nước uống,1,
21/01/2012,Linh tinh,5.000,Bàn chải đánh răng,1,
21/01/2012,Linh tinh,350.000,Quần áo,1,
23/01/2012,Nhậu,50.000,Lớp 12A,1,
25/01/2012,Linh tinh,15.000,Đánh bài với gia đình,1,
25/01/2012,Linh tinh,70.000,Karaoke + Bánh xèo,1,
26/01/2012,Thu,-60.000,Má cho để lì xì,1,
26/01/2012,Thu,-15.000,Đánh bài với gia đình,1,
27/01/2012,Thu tiền mượn,-100.000,Trúc,0,
27/01/2012,Linh tinh,137.000,Họp lớp 12A + đánh bài + karaoke,1,
29/01/2012,Ăn sáng,44.000,,1,
29/01/2012,Linh tinh,12.000,Nước ngọt,1,
29/01/2012,Đổ xăng,50.000,,1,
29/01/2012,Ăn trưa,22.000,,1,
29/01/2012,Thu,-5.000,Loan lì xì,1,
29/01/2012,Linh tinh,10.000,Lì xì Loan,1,
29/01/2012,Ăn tối,50.000,Với Loan,1,
30/01/2012,Ăn sáng,10.000,,1,
30/01/2012,Ăn trưa,17.000,,1,
30/01/2012,Ăn tối,26.000,,1,
31/01/2012,Ăn sáng,10.000,,1,
31/01/2012,Ăn trưa,24.000,,1,
31/01/2012,Ăn tối,12.000,,1,
31/01/2012,Đổ xăng,50.000,,1,
31/01/2012,Gửi xe,3.000,,1,
31/01/2012,Linh tinh,8.000,Nước ngọt,1,
01/02/2012,Linh tinh,2.000,Bơm lốp xe,1,
01/02/2012,Ăn sáng,20.000,,1,
01/02/2012,Ăn trưa,30.000,,1,
01/02/2012,Ăn tối,15.000,,1,
01/02/2012,Linh tinh,5.000,Lì xì Lệ bà Đức,1,
02/02/2012,Ăn sáng,10.000,,1,
02/02/2012,Ăn trưa,24.000,,1,
02/02/2012,Nhậu,100.000,,1,
03/02/2012,Đổ xăng,50.000,,1,
03/02/2012,Ăn sáng,10.000,,1,
03/02/2012,Ăn trưa,22.000,,1,
03/02/2012,Ăn tối,12.000,,1,
04/02/2012,Rút tài khoản,-4.000.000,,0,
04/02/2012,Cho mượn,3.000.000,Nhân,0,
04/02/2012,Linh tinh,17.000,Rửa xe,1,
04/02/2012,Ăn tối,20.000,,1,
04/02/2012,Linh tinh,21.000,"Sinh tố, rau má",1,
05/02/2012,Ăn trưa,17.000,,1,
05/02/2012,Linh tinh,48.000,"Lăn khử mùi, sữa rửa mặt",1,
05/02/2012,Đổ xăng,40.000,,1,
05/02/2012,Ăn tối,10.000,,1,
06/02/2012,Ăn sáng,10.000,,1,
06/02/2012,Ăn trưa,22.000,,1,
06/02/2012,Ăn tối,17.000,,1,
06/02/2012,Linh tinh,210.000,Quạt máy,1,
07/02/2012,Ăn trưa,22.000,,1,
07/02/2012,Đá banh,20.000,,1,
07/02/2012,Gửi xe,3.000,,1,
07/02/2012,Ăn tối,38.000,,1,
08/02/2012,Ăn trưa,23.000,,1,
08/02/2012,Ăn tối,17.000,,1,
08/02/2012,Đổ xăng,50.000,,1,
08/02/2012,Linh tinh,15.000,BCS,1,
09/02/2012,Ăn sáng,36.000,,1,
09/02/2012,Ăn trưa,22.000,,1,
09/02/2012,Cho mượn,300.000,Nhân,0,
09/02/2012,Linh tinh,50.000,"Cafe guitar với Loan, Truyền, Diễm",1,
10/02/2012,Ăn sáng,11.000,,1,
10/02/2012,Ăn trưa,22.000,,1,
10/02/2012,Linh tinh,126.000,Guitar Gỗ với Mỹ,1,
11/02/2012,Linh tinh,10.000,"Lì xì Thu, Thương",1,
11/02/2012,Đổ xăng,50.000,,1,
11/02/2012,Linh tinh,18.000,Cà phê một mình,1,
12/02/2012,Ăn trưa,21.000,,1,
12/02/2012,Gửi xe,3.000,Rạp Tân Bình,1,
12/02/2012,Rút tài khoản,-1.000.000,,0,
12/02/2012,Gửi xe,3.000,Rạp Tân Bình,1,
12/02/2012,Linh tinh,68.000,"Bắp, nước ngọt (xem phim vé 130k+10k, thanh toán qua mạng)",1,
13/02/2012,Ăn sáng,10.000,,1,
13/02/2012,Ăn trưa,22.000,,1,
13/02/2012,Ăn tối,28.000,,1,
14/02/2012,Ăn sáng,10.000,,1,
14/02/2012,Ăn trưa,22.000,,1,
14/02/2012,Gửi xe,3.000,,1,
14/02/2012,Nhậu,50.000,,1,
14/02/2012,Đổ xăng,30.000,,1,
14/02/2012,Linh tinh,260.000,KS,1,
15/02/2012,Ăn sáng,10.000,,1,
15/02/2012,Ăn trưa,26.000,,1,
15/02/2012,Rút tài khoản,-500.000,,0,
15/02/2012,Ăn tối,17.000,,1,
15/02/2012,Linh tinh,130.000,Cà phê,1,
15/02/2012,Thu tiền mượn,-3.000.000,Nhân,0,
15/02/2012,Phòng,800.000,,1,
16/02/2012,Ăn trưa,22.000,,1,
16/02/2012,Ăn tối,17.000,,1,
16/02/2012,Linh tinh,40.000,"Sữa, kem đánh răng",1,
17/02/2012,Ăn sáng,36.000,,1,
17/02/2012,Đổ xăng,50.000,,1,
17/02/2012,Ăn trưa,18.000,,1,
17/02/2012,Ăn tối,25.000,,1,
17/02/2012,Linh tinh,60.000,Cà phê,1,
18/02/2012,Ăn trưa,19.000,,1,
18/02/2012,Ăn tối,15.000,,1,
18/02/2012,Linh tinh,175.000,Cà phê,1,
19/02/2012,Ăn sáng,15.000,,1,
19/02/2012,Linh tinh,20.000,2 lon bò húc,1,
19/02/2012,Ăn trưa,14.000,,1,
19/02/2012,Ăn tối,25.000,,1,1
19/02/2012,Linh tinh,50.000,Cà phê,1,
20/02/2012,Ăn sáng,10.000,,1,
20/02/2012,Ăn trưa,19.000,,1,
20/02/2012,Ăn tối,22.000,Bánh bao + bánh mì,1,
20/02/2012,Linh tinh,20.000,2 lon bò húc,1,
20/02/2012,Đổ xăng,50.000,,1,
21/02/2012,Ăn sáng,10.000,,1,
21/02/2012,Ăn trưa,22.000,,1,
21/02/2012,Đá banh,10.000,,1,
21/02/2012,Gửi xe,3.000,,1,
22/02/2012,Cho mượn,500.000,Nhân,0,
22/02/2012,Ăn sáng,17.000,,1,
22/02/2012,Linh tinh,20.000,Vé số,1,
22/02/2012,Ăn trưa,17.000,,1,
22/02/2012,Ăn tối,24.000,,1,
23/02/2012,Ăn sáng,22.000,,1,
23/02/2012,Ăn trưa,22.000,,1,
23/02/2012,Ăn tối,27.000,,1,
23/02/2012,Linh tinh,20.000,Nước cam,1,
24/02/2012,Ăn trưa,18.000,,1,
24/02/2012,Ăn tối,43.000,,1,
25/02/2012,Hớt tóc,25.000,,1,
26/02/2012,Đổ xăng,50.000,,1,
27/02/2012,Ăn sáng,10.000,,1,
27/02/2012,Ăn trưa,18.000,,1,
27/02/2012,Ăn tối,17.000,,1,
28/02/2012,Ăn sáng,50.000,,1,
28/02/2012,Ăn trưa,20.000,,1,
28/02/2012,Đá banh,10.000,,1,
28/02/2012,Gửi xe,3.000,,1,
28/02/2012,Ăn tối,12.000,,1,
29/02/2012,Ăn sáng,10.000,,1,
29/02/2012,Ăn trưa,26.000,,1,
29/02/2012,Ăn tối,25.000,,1,
29/02/2012,Linh tinh,58.000,Cà phê,1,
01/03/2012,Ăn sáng,30.000,,1,
01/03/2012,Ăn trưa,15.000,,1,
01/03/2012,Gửi xe,3.000,,1,
