Date,Category,Amount,Note,Is Spending?,Is big spending?
02/01/2011,Linh tinh,8.000,Xe buýt,1,
02/01/2011,Rút tài khoản,-500.000,,0,
02/01/2011,Linh tinh,190.000,Vé xe,1,
02/01/2011,Gửi xe,3.000,,1,
02/01/2011,Linh tinh,30.000,Rác,1,
03/01/2011,Ăn sáng,10.000,Bánh cuốn,1,
03/01/2011,Linh tinh,48.000,Đĩa trắng,1,
04/01/2011,Ăn sáng,7.000,Bánh mì,1,
04/01/2011,Gửi xe,1.000,,1,
04/01/2011,Đổ xăng,30.000,,1,
05/01/2011,Ăn sáng,7.000,Bánh mì,1,
05/01/2011,Gửi xe,3.000,eTown,1,
06/01/2011,Ăn sáng,7.000,Bánh mì,1,
07/01/2011,Đổ xăng,30.000,,1,
07/01/2011,Ăn sáng,7.000,Bánh mì,1,
07/01/2011,Gửi xe,1.000,,1,
08/01/2011,Linh tinh,7.000,Bút ghi nhãn đĩa,1,
09/01/2011,Linh tinh,20.000,Phí băng rôn và nước cho bảo vệ tốt nghiệp,1,
09/01/2011,Gửi xe,2.000,,1,
10/01/2011,Ăn sáng,7.000,Bánh mì,1,
10/01/2011,Gửi xe,1.000,,1,
11/01/2011,Ăn sáng,10.000,Bánh cuốn,1,
11/01/2011,Ăn trưa,17.000,,1,
12/01/2011,Ăn sáng,12.000,Bánh cuốn,1,
12/01/2011,Đổ xăng,30.000,,1,
12/01/2011,Linh tinh,1.000,Bơm xe,1,
12/01/2011,Gửi xe,3.000,Gameloft,1,
12/01/2011,Linh tinh,2.000,Mẫu sơ yếu lý lịch,1,
13/01/2011,Linh tinh,3.000,"Photo hộ khẩu, chứng minh",1,
13/01/2011,Gửi xe,6.000,UB Phường Phước Bình,1,
13/01/2011,Gửi xe,2.000,Nhà máy nước,1,
13/01/2011,Linh tinh,46.500,Tiền nước,1,
13/01/2011,Linh tinh,25.000,Công chứng giấy tờ,1,
13/01/2011,Thu,-50.000,Hai đưa (tiền nước),1,
14/01/2011,Ăn sáng,6.000,Bánh mì,1,
14/01/2011,Đổ xăng,30.000,,1,
14/01/2011,Gửi xe,1.000,,1,
14/01/2011,Rút tài khoản,-600.000,,0,
14/01/2011,Linh tinh,340.000,In báo cáo tốt nghiệp,1,
14/01/2011,Nhậu,35.000,,1,
15/01/2011,Ăn sáng,10.000,Bánh cuốn,1,
15/01/2011,Gửi xe,1.000,,1,
15/01/2011,Linh tinh,40.000,Karaoke,1,
15/01/2011,Linh tinh,10.000,Liên hoan,1,
15/01/2011,Linh tinh,1.000,Bơm xe,1,
16/01/2011,Linh tinh,4.000,Xe buýt,1,
16/01/2011,Nhậu,100.000,,1,
16/01/2011,Nhậu,40.000,,1,
17/01/2011,Đổ xăng,30.000,,1,
17/01/2011,Ăn sáng,7.000,,1,
17/01/2011,Linh tinh,560.000,Giày,1,
17/01/2011,Linh tinh,24.000,Xi đánh giày,1,
18/01/2011,Linh tinh,7.000,Bánh bao,1,
18/01/2011,Linh tinh,24.000,Thuốc cảm + say tàu xe,1,
19/01/2011,Linh tinh,1.000,Photo bằng 12,1,
19/01/2011,Đổ xăng,20.000,,1,
